CODGEO;PMIMP;DECUC_Q2;DECUC_Q1;DECUC_Q3;BREV;DECUC_D1;DECUC_D9;DECUC_D1D9;DISP_Q2;DISP_Q1;DISP_Q3;TP60;DISP_D1;DISP_D9;DISP_D1D9;PACT;PPEN;PPSOC;PIMPOT;PPAT;NOTE_FILO;C;CC2S;NOTE_CNAM;A;APPA;ARSAS;AAAH;NOTE_CNAF
QP094033;32,7;13340;7720;20020;45,6;4180;26980;6,5;15350;12050;20300;30,5;9000;25650;2,9;70,8;23,2;15;-11,2;2,2;0;1572;228;0;462;138;102;59;0
QP094034;40,4;13140;7920;20810;48,5;4530;27600;6,1;15590;11970;20910;29,5;10140;26520;2,6;77,6;16,1;15,7;-11,2;1,8;0;2791;413;0;659;223;99;58;0
QP094035;32,6;11860;6810;18470;53,4;2910;25300;8,7;14520;11090;19160;37,3;8770;24280;2,8;73,2;17,6;17,7;-10,6;2,1;0;10043;2099;0;2710;944;630;215;0
QP094036;32,4;12700;7240;18800;50;4250;24450;5,7;14690;11220;19260;35,8;8640;24350;2,8;77,2;16,8;15,3;-10,8;1,5;0;2319;435;0;735;249;174;57;0
QP094037;31,5;10120;5430;18120;59,7;1600;25190;15,8;13150;9300;18480;48,1;6210;24660;4;80;12,6;15,7;-12,1;3,8;0;2960;672;0;808;255;197;38;0
QP094038;37,1;12710;7090;19610;49,8;3020;26460;8,8;14880;11090;19980;35,7;8730;25110;2,9;77,1;18;15,6;-13,1;2,4;0;6719;1375;0;1789;631;377;125;0
QP094039;32;11990;5760;18890;53,2;1630;25250;15,4;14720;10510;19460;39,2;8130;24610;3;67,8;22,4;18,2;-10,7;2,3;0;1786;376;0;570;202;116;44;0
QP094040;34,5;12930;7220;20210;49;2070;29060;14;14900;10530;20300;34,7;7110;26840;3,8;76,1;17,6;13,8;-12,7;5,2;0;1725;346;0;537;178;115;36;0
QP094041;31,2;11820;6860;18510;54,2;3420;25740;7,5;14460;10960;19020;36,6;8380;24330;2,9;74;17,5;17,3;-10,8;2;0;4823;790;0;1337;435;280;117;0
QP094042;40,7;14240;9370;20670;42,1;4310;27030;6,3;15980;12690;20600;25;9680;25470;2,6;76,7;19,9;12,9;-11,9;2,4;0;1945;214;0;533;199;87;38;0
QP095001;34,9;13760;8860;20920;44,6;4860;27020;5,6;16060;12930;20580;23;10010;26030;2,6;72,9;20,3;15,5;-10,6;1,9;0;1363;197;0;349;122;47;40;0
QP095002;;8030;4630;12900;74,6;800;17830;22,2;11080;7960;14400;62,4;5360;18660;3,5;54,1;28,5;23;-7,1;1,5;0;837;193;0;343;76;90;23;0
QP095003;42;13730;8150;20510;45,8;3970;27880;7;15590;12350;20910;27,3;9070;26140;2,9;87,6;8,2;15;-12,6;1,8;0;2009;309;0;524;151;95;36;0
QP095004;26;10600;6010;17110;58,7;2710;24770;9,1;13340;10340;18350;44,1;7910;24530;3,1;73,2;15,4;19;-10,7;3,1;0;2587;459;0;749;215;144;57;0
QP095005;29,8;11540;6820;17400;55,5;2690;24140;9;14250;11030;18410;38,2;8430;23300;2,8;70,6;19,5;18,5;-10,7;2,1;0;14004;2576;0;3563;1198;706;275;0
QP095006;34,9;12490;7280;19330;51,2;2810;26080;9,3;14880;11390;19770;33,3;8510;24880;2,9;74,8;18,4;16,5;-12,1;2,4;0;9571;1675;0;2290;771;442;161;0
QP095007;30,3;10630;5970;18090;57,9;1330;24970;18,8;13760;10300;18750;40,2;8680;23770;2,7;69,4;18,9;20,7;-10,8;1,8;0;1472;329;0;383;159;83;29;0
QP095008;29,2;12150;7350;17670;53,4;2870;23730;8,3;14320;11140;18870;34,7;8820;23050;2,6;70,9;18,9;18,4;-9,9;1,7;0;2815;549;0;890;293;166;78;0
QP095009;34,8;13160;8110;20440;47,8;4110;29230;7,1;15050;11280;20850;34,7;8180;27240;3,3;72,4;24,5;13,1;-12,8;2,8;0;4754;642;0;1360;410;208;97;0
QP095010;29,6;12160;5940;17820;52,6;2390;24890;10,4;14750;10780;19180;38,5;8690;24470;2,8;65,5;23,1;19,3;-10;2,1;0;1504;247;0;415;136;62;32;0
QP095011;28,9;11500;7300;17210;56,1;3640;23360;6,4;14660;11410;18550;34,9;8890;23210;2,6;78,3;10,7;19,5;-10;1,5;0;10148;1619;0;2962;1023;466;195;0
QP095012;36,5;12570;8020;19200;50,5;3410;26310;7,7;15720;12200;20220;28,8;9190;25380;2,8;80,8;10,2;18;-10,8;1,8;0;1318;176;0;327;104;61;29;0
QP095013;30;11890;7850;17820;54,6;3680;23480;6,4;14610;11780;19160;33,1;8820;23320;2,6;75,4;14,9;17,6;-10,2;2,3;0;1885;248;0;471;166;99;26;0
QP095014;25,3;10620;6570;16830;61,3;2490;22830;9,2;14030;11020;18000;37,1;9070;23170;2,6;73;11,6;22,4;-8,9;1,9;0;2142;424;0;550;183;111;32;0
QP095015;30;11630;7140;17580;55,2;3660;23490;6,4;14280;11270;18580;37,8;8650;23410;2,7;74,1;15,9;18,1;-10,3;2,2;0;3047;541;0;890;324;127;72;0
QP095016;31,3;12590;7930;19060;50,8;4800;24520;5,1;15390;11970;19380;30,5;9610;24150;2,5;67,9;23,6;16,5;-9,8;1,8;0;2485;348;0;686;263;114;62;0
QP095017;27,2;11660;7050;17280;57,8;3480;23280;6,7;14120;10770;18040;38,8;7790;22880;2,9;68;23,5;16,2;-9,2;1,5;0;3133;433;0;853;290;124;83;0
QP095018;27,5;11360;7200;17140;56,2;3760;22260;5,9;14190;10970;18910;38,8;7540;22120;2,9;73,7;16,8;17,7;-10;1,8;0;1059;177;0;273;94;39;18;0
QP095019;31,3;13570;7960;18090;45,3;4100;23930;5,8;15650;12990;19240;22,7;10080;22990;2,3;80,5;10,3;18,2;-10,1;1,1;0;1431;181;0;392;162;48;36;0
QP095020;36,8;12510;7530;18930;50,5;4660;25700;5,5;14890;10850;19690;34,7;8920;24700;2,8;80,4;14;14,6;-11,4;2,4;0;1500;214;0;319;107;51;18;0
QP095021;40,1;14440;8510;21730;41,6;4160;29010;7;16340;12200;21860;27,8;9730;27640;2,8;78,2;18,3;13,6;-12,1;2;0;2888;371;0;787;245;137;66;0
QP095022;25,8;12010;6670;18410;53,5;4030;25920;6,4;14610;9910;19210;40,5;6190;24690;4;71,3;22,7;14,5;-10,7;2,2;0;1127;176;0;346;98;75;23;0
QP095023;33,7;12910;8190;19590;48,1;3550;26250;7,4;15510;11600;20190;32,9;9270;25260;2,7;78,5;15,3;15,8;-11,2;1,6;0;1712;266;0;459;170;70;42;0
QP095024;30,7;11530;6960;16720;55,5;3650;23930;6,6;14310;11480;18430;35;8540;22920;2,7;76,4;13;19,1;-9,8;1,3;0;1320;170;0;323;117;54;18;0
QP095025;30,5;12070;7170;17670;53;2680;24110;9;14920;11650;19180;32,9;9180;23690;2,6;73,5;15,2;19,7;-9,9;1,5;0;3506;581;0;950;322;179;72;0
QP095026;32,3;12170;7460;18350;52;3980;26000;6,5;14900;11680;19030;31,3;8690;24480;2,8;76,8;15;17,3;-10,2;1,1;0;1433;264;0;402;132;74;33;0
QP095027;35,8;12720;7540;19970;49,8;3200;27030;8,5;15120;11010;20310;34,3;8480;25610;3;80,2;14;15,3;-11,7;2,2;0;5009;709;0;1436;478;282;89;0
QP095028;27;10170;6690;15770;64;3400;23090;6,8;13910;11200;17450;38,9;8750;22070;2,5;70,4;16;21,2;-9,1;1,5;0;1092;192;0;250;108;40;15;0
QP095029;29,1;13170;8290;18140;47,8;4550;24350;5,4;15740;11940;19290;31,8;8810;23410;2,7;74,5;17,5;16,6;-10,4;1,8;0;1307;132;0;371;134;47;31;0
QP095030;38,6;13340;7650;20380;47,9;3680;28620;7,8;14960;10760;20250;37,8;8060;26860;3,3;81,5;15,1;12,1;-12,3;3,6;0;;;5;;;;;5
QP095031;26,7;11570;7070;17180;55,9;3230;23340;7,2;14450;11180;18340;36,1;8780;22990;2,6;73,4;15;19,4;-9,5;1,7;0;9228;1433;0;2358;771;449;168;0
QP095032;28,1;11060;6580;16910;57,8;2980;23230;7,8;13920;10450;18140;40,8;7880;22830;2,9;74,7;14,7;18,2;-9,8;2,2;0;31388;5429;0;7647;2477;1554;583;0
QP095033;30,1;11670;6920;17480;55,1;3320;24300;7,3;14420;10920;18660;37,6;8380;24070;2,9;70,9;18,4;17,6;-10,3;3,4;0;40368;7282;0;9935;3149;2084;756;0
QP095034;34,6;12690;7800;18910;49,9;3700;25600;6,9;15100;11480;19550;32,9;8890;24800;2,8;75,1;16,9;16;-10,9;2,9;0;17199;2656;0;4262;1386;826;316;0
QP095035;36;13160;8560;19430;45,9;4770;25110;5,3;16210;12150;20330;28,9;9700;24840;2,6;76,3;15,3;17,4;-10,2;1,2;0;1162;142;0;302;103;49;26;0
QP095036;32,5;12740;7600;18630;49,6;3590;24650;6,9;15030;11340;19370;33;8600;24100;2,8;73,1;18,4;16,8;-10,3;2;0;4290;655;0;1081;355;228;68;0
QP095037;39,9;13330;6730;20470;46,4;2350;27960;11,9;15440;10530;20630;35,1;7500;26360;3,5;80,4;14,9;13,5;-12,6;3,8;0;2839;557;0;638;180;134;38;0
QP095038;31,4;11520;6620;17830;55,4;3130;24820;7,9;14310;10800;18900;38,9;8090;24010;3;76,5;14;17,6;-10,6;2,5;0;17970;3138;0;4303;1362;859;303;0
QP095039;30,1;12090;7360;17860;52,7;3560;24740;6,9;14630;11180;19140;37,3;8870;23980;2,7;72,4;19,7;16,4;-10,3;1,8;0;2584;413;0;687;249;107;42;0
QP095040;26,1;11170;6980;16730;58;3620;21910;6,1;14110;11100;17810;39,2;8530;22340;2,6;65,4;22,8;19,2;-8,9;1,5;0;2782;430;0;754;264;129;60;0
QP095041;39,4;14340;9080;21480;41,2;4600;28020;6,1;16170;12510;21230;25,5;9810;26960;2,7;75,5;20,5;13,4;-11,9;2,5;0;2687;305;0;676;247;101;49;0
QP972001;19,2;8780;1510;17450;62,5;0;26090;;12980;9410;18960;47,9;6660;25750;3,9;56,7;21,8;26,3;-8,8;4;0;;;;;;;;
QP972002;21,5;9970;3170;18700;58;0;27510;;13940;9830;19990;41,8;7220;26980;3,7;57,7;25,1;23,2;-8,7;2,7;0;;;;;;;;
QP972003;18,1;9500;3490;16580;62,2;0;23690;;12910;9670;18330;48,1;6770;24590;3,6;55,7;25,6;24,1;-7,5;2,1;0;;;;;;;;
QP972004;19,2;10430;4310;17020;58,8;0;24930;;14400;11280;19060;37,9;8950;24850;2,8;66,7;13,8;26,1;-8,1;1,5;0;;;;;;;;
QP972005;24,2;11180;3070;20310;55,4;0;29710;;14480;9850;21350;40,8;7490;27840;3,7;62,2;22,3;20,4;-10,1;5,2;0;;;;;;;;
QP972006;16,8;8720;2440;16720;63,9;0;23570;;13900;10680;18380;41,6;8500;24020;2,8;65,7;9,3;30,6;-7,4;1,8;0;;;;;;;;
QP972007;18,7;10030;4800;16980;63,3;0;26320;;13190;9650;18810;46,9;7060;25610;3,6;49,5;34,7;20,8;-8,9;3,9;0;;;;;;;;
QP974001;11,5;5470;0;11830;77,1;0;18700;;11350;9260;15350;62,3;7470;20130;2,7;56,7;7,9;40,9;-6,6;1,1;0;3179;1824;0;1025;291;575;62;0
QP974002;10,3;4800;0;11800;77,3;0;19510;;11370;9160;15130;61,6;7490;20520;2,7;50,9;10,6;41,4;-7,9;5;0;9178;5507;0;3319;894;1782;251;0
